word, freq, first_time, first_vsize, lrnd_time, lrnd_freq, flrnd_vsize, last_time
tongue:N,1,315,21,-1,-1,-1,315,
too:ADV,2,728,90,914,2,113,914,
toy:N,1,705,87,-1,-1,-1,705,
tray:N,1,488,44,-1,-1,-1,488,
tree:N,3,403,30,-1,-1,-1,830,
try:V,2,750,91,-1,-1,-1,888,
turn:V,2,212,11,-1,-1,-1,874,
two:DET,2,436,35,-1,-1,-1,617,
type:N,1,960,119,-1,-1,-1,960,
u:N,2,283,20,-1,-1,-1,797,
up:ADV,3,682,82,874,3,106,874,
up:PREP,4,21,0,-1,-1,-1,843,
very:ADV,10,4,0,776,9,95,858,
wait:V,3,550,58,-1,-1,-1,786,
walk:N,1,887,109,-1,-1,-1,887,
wall:N,2,392,30,-1,-1,-1,397,
want:V,48,8,0,506,26,45,972,
wash:V,1,833,102,-1,-1,-1,833,
watch:V,2,1,0,-1,-1,-1,95,
way:N,1,21,0,-1,-1,-1,21,
we:N,66,5,0,133,14,6,993,
wear:V,1,548,58,-1,-1,-1,548,
wed:V,1,2,0,-1,-1,-1,2,
wee:ADJ,2,901,112,-1,-1,-1,905,
well:OTH,11,129,5,900,10,111,935,
were:AUX,3,114,4,-1,-1,-1,868,
what:N,132,8,0,103,15,1,994,
wheel:N,2,212,11,-1,-1,-1,519,
when:CONJ,4,95,0,-1,-1,-1,553,
where:ADV,21,53,0,233,7,14,949,
whisker:N,1,755,92,-1,-1,-1,755,
white:ADJ,3,543,56,-1,-1,-1,546,
white:N,4,393,30,709,4,88,709,
who:N,22,41,0,257,9,16,336,
why:ADV,4,164,8,-1,-1,-1,810,
will:AUX,4,207,11,-1,-1,-1,993,
will:V,12,69,0,874,8,105,978,
window:N,4,590,64,594,3,65,605,
wipe:V,3,454,38,-1,-1,-1,495,
with:PREP,23,13,0,519,14,49,971,
wonder:V,3,407,31,-1,-1,-1,873,
wool:N,1,802,101,-1,-1,-1,802,
work:V,2,496,44,-1,-1,-1,497,
worm:N,2,192,10,-1,-1,-1,197,
would:AUX,1,349,25,-1,-1,-1,349,
would:V,3,147,8,-1,-1,-1,964,
wow:OTH,4,38,0,338,4,24,338,
yeah:OTH,56,15,0,131,7,5,990,
yellow:N,9,64,0,525,5,51,865,
yes:OTH,10,3,0,618,4,70,838,
yet:ADV,1,440,37,-1,-1,-1,440,
you:N,200,1,0,103,19,2,986,
your:DET,36,157,8,315,7,21,962,

