time, heard, learned, nov_n_min1, nov_n_min2, all, lrn, n, v, oth
628,344,71,0.223267185011,0.223267185011,0.443771824476,0.837799903218,0.407978297192,0.412927512978,0.524714941224
629,346,71,-1,-1,0.443664208226,0.838183585962,0.408092984357,0.414171305037,0.521643187846
630,346,71,-1,-1,0.444103256436,0.839159804186,0.408826831557,0.414252279708,0.521911026364
631,347,71,-1,-1,0.443996827681,0.839605069962,0.408916223164,0.412241656368,0.523310057891
632,347,71,-1,-1,0.44400763186,0.839657873485,0.408916223164,0.412241656368,0.52334610645
633,347,71,-1,-1,0.444014788533,0.839692850464,0.408916223164,0.412241656368,0.523369984965
634,347,71,-1,-1,0.443993021001,0.83958646548,0.408916223164,0.412241656368,0.523297356754
635,347,71,-1,-1,0.444001841184,0.839629572572,0.408935351936,0.412241656368,0.523297356754
636,347,71,-1,-1,0.444077445139,0.839999073594,0.408935351936,0.412559230973,0.523296163296
637,347,71,-1,-1,0.444249039391,0.839872524315,0.40909693088,0.413068257404,0.523213868877
638,347,71,-1,-1,0.44424841908,0.839869492657,0.409095585582,0.413068257404,0.523213868877
639,347,71,-1,-1,0.444262221356,0.839936948849,0.409095585582,0.413068257404,0.523259920701
640,347,71,-1,-1,0.44432948847,0.840265705024,0.409095585582,0.41332800107,0.523277064587
641,347,71,-1,-1,0.444416201838,0.840150082795,0.409221706592,0.413545498919,0.523198774739
642,347,71,-1,-1,0.444572876422,0.840915802239,0.409221706592,0.413545498919,0.523721525513
643,347,71,-1,-1,0.444593137054,0.841014822513,0.409265646838,0.413545498919,0.523721525513
644,347,71,-1,-1,0.444709875507,0.84158536115,0.409265646838,0.413575578009,0.524087022424
645,347,71,-1,-1,0.444759018363,0.841647756411,0.409348956877,0.413621209734,0.524086402538
646,348,73,0.221265730547,-1,0.444593646008,0.838704608597,0.408626599676,0.413714806217,0.524917089875
647,348,74,-1,-1,0.445875780127,0.837221709308,0.408626599676,0.414099231665,0.528900506808
648,348,76,-1,-1,0.446796449712,0.834574813097,0.409393076193,0.414684787325,0.530327325816
649,348,76,-1,-1,0.447401836767,0.834574813097,0.410701614671,0.414684787325,0.530327325816
650,348,77,-1,-1,0.449139015741,0.832970320645,0.41265857774,0.414684787325,0.533110664555
651,348,77,-1,-1,0.450295855955,0.834359839815,0.414494524438,0.414684787325,0.534139443171
652,348,77,-1,-1,0.451148757931,0.834359839815,0.416338064113,0.414684787325,0.534139443171
653,348,78,-1,-1,0.452262308211,0.832826188512,0.418744992669,0.414684787325,0.534139443171
654,349,78,-1,-1,0.451871994241,0.832943265312,0.41805465779,0.414684787325,0.534227250771
655,349,78,-1,-1,0.452586639473,0.833793768731,0.41805931371,0.414680952793,0.536621243011
656,349,78,-1,-1,0.453290900091,0.83386404168,0.419549823431,0.41467540999,0.536667247181
657,349,78,-1,-1,0.453600485271,0.835249236909,0.419952026193,0.414736576952,0.537030819514
658,349,78,-1,-1,0.453751345632,0.835924240317,0.419952026193,0.415370917504,0.537030819514
659,350,78,-1,-1,0.453749400197,0.835924240317,0.420598069057,0.415370917504,0.535234445036
660,350,79,-1,-1,0.454065317254,0.835051394162,0.421090498308,0.41558612434,0.535357638027
661,350,79,-1,-1,0.455324741402,0.835528307999,0.422800351075,0.417259589528,0.535594825579
662,351,80,-1,-1,0.455709156565,0.834628573917,0.42280585268,0.417344825194,0.537165719084
663,351,80,-1,-1,0.456244778594,0.834941339415,0.42379713706,0.417419209279,0.537367309554
664,351,80,-1,-1,0.456241908878,0.834928748535,0.423797884626,0.417433032836,0.53734550427
665,351,80,-1,-1,0.456321851908,0.835279498582,0.423797884626,0.417433032836,0.537612742401
666,351,81,-1,-1,0.456525955864,0.834349662055,0.423802043512,0.417576292281,0.538174008645
667,352,81,-1,-1,0.456462365621,0.834349662055,0.423865479995,0.417576292281,0.538174008645
668,352,82,-1,-1,0.457314031181,0.833125013341,0.42570465961,0.417576292281,0.538174008645
