number of features per object,number of novel features for novel object,power,   forgetting,novelty,lambda,novel word,familiar object,scene,overlapping features, ratio-SUM,ratio-PROD
10,0,0.5,False,0.03,-1,milan:N,elephant:N,"set(['animal#1', 'district#1', 'mammal#1', 'municipality#1', 'organism#1', 'placental#1', 'administrative district#1', 'region#3', 'location#1', 'whole#2', 'vertebrate#1', 'urban area#1', 'physical entity#1', 'chordate#1', 'living thing#1', 'geographical area#1', 'object#1'])","['physical entity#1', 'object#1']",1.2373640070310401,8.2821063954106613
10,0,0.5,False,0.03,-1,mint:N,starfish:N,"set(['animal#1', 'invertebrate#1', 'echinoderm#1', 'substance#7', 'starfish', 'organism#1', 'entity#1', 'matter#3', 'food#1', 'ingredient#3', 'whole#2', 'physical entity#1', 'object#1', 'herb#2', 'flavorer#1', 'mint', 'foodstuff#2', 'living thing#1'])","['entity#1', 'physical entity#1']",1.1698773133460618,5.5857460192270949
10,0,0.5,False,0.03,-1,mudguard:N,skull:N,"set(['mudguard', 'skull', 'part#3', 'artifact#1', 'fender#1', 'connective tissue#1', 'body part#1', 'tissue#1', 'entity#1', 'whole#2', 'bone#1', 'physical entity#1', 'structure#1', 'object#1', 'barrier#1', 'animal tissue#1', 'obstruction#1', 'thing#12'])","['entity#1', 'physical entity#1']",0.89119679244505778,0.24481051817256458
10,0,0.5,False,0.03,-1,na:N,mouth:N,"set(['part#1', 'part#3', 'matter#3', 'abstraction#6', 'rima#1', 'body part#1', 'structure#4', 'entity#1', 'passage#7', 'physical entity#1', 'substance#1', 'mouth', 'relation#1', 'na', 'orifice#1', 'chemical element#1', 'thing#12', 'metallic element#1'])","['entity#1', 'physical entity#1']",0.97343679938467675,0.76157971542995728
10,0,0.5,False,0.03,-1,na:N,type:N,"set(['kind#1', 'part#1', 'physical entity#1', 'category#2', 'abstraction#6', 'substance#1', 'content#5', 'na', 'entity#1', 'cognition#1', 'metallic element#1', 'concept#1', 'type', 'matter#3', 'chemical element#1', 'psychological feature#1', 'relation#1', 'idea#1'])","['abstraction#6', 'entity#1']",0.91427954220983265,0.37723751476353573
10,0,0.5,False,0.03,-1,newark:N,lucy:N,"set(['animal#1', 'district#1', 'mammal#1', 'municipality#1', 'organism#1', 'placental#1', 'administrative district#1', 'region#3', 'location#1', 'whole#2', 'vertebrate#1', 'urban area#1', 'physical entity#1', 'chordate#1', 'living thing#1', 'geographical area#1', 'object#1'])","['physical entity#1', 'object#1']",1.2373640070310399,8.2821063954106648
10,0,0.5,False,0.03,-1,newark:N,mum:N,"set(['district#1', 'administrative district#1', 'organism#1', 'location#1', 'vascular plant#1', 'spermatophyte#1', 'whole#2', 'region#3', 'flower#1', 'physical entity#1', 'living thing#1', 'geographical area#1', 'plant#2', 'urban area#1', 'angiosperm#1', 'object#1'])","['physical entity#1', 'object#1']",1.1408725336996561,4.0275745870282647
10,0,0.5,False,0.03,-1,pension:N,chalk:N,"set(['regular payment#1', 'part#1', 'entity#1', 'matter#3', 'abstraction#6', 'transferred property#1', 'substance#1', 'cost#1', 'pension', 'chalk', 'physical entity#1', 'spar#1', 'outgo#1', 'mineral#1', 'possession#2', 'payment#1', 'relation#1', 'material#1'])","['abstraction#6', 'relation#1']",1.1072132761136384,2.967291136163793
10,0,0.5,False,0.03,-1,pied_piper:N,snow:N,"set(['object#1', 'pied_piper', 'weather#1', 'atmospheric phenomenon#1', 'entity#1', 'causal agent#1', 'living thing#1', 'person#1', 'precipitation#3', 'snow', 'whole#2', 'physical entity#1', 'physical phenomenon#1', 'process#6', 'phenomenon#1', 'leader#1', 'natural phenomenon#1', 'organism#1'])","['entity#1', 'physical entity#1']",0.81160909110430768,0.1081163643923722
10,0,0.5,False,0.03,-1,piggy:N,finger:N,"set(['animal#1', 'object#1', 'organism#1', 'external body part#1', 'part#3', 'living thing#1', 'young#1', 'body part#1', 'whole#2', 'entity#1', 'young mammal#1', 'physical entity#1', 'extremity#5', 'digit#3', 'extremity#1', 'piggy', 'thing#12', 'finger'])","['entity#1', 'physical entity#1']",0.85114028060838753,0.1688824913229395
