time, heard, learned, nov_n_min1, nov_n_min2, all, lrn, n, v, oth
722,369,204,-1,-1,0.707405462297,0.863468866773,0.698468150218,0.664504044813,0.757456313684
723,370,204,-1,-1,0.706875614092,0.863497971681,0.697377506573,0.664504044813,0.757512326903
724,370,204,-1,-1,0.706875388445,0.86349756242,0.697377506573,0.664504044813,0.757511539269
725,371,204,-1,-1,0.706679917331,0.863520152259,0.697377506573,0.664109081554,0.757555014054
726,371,204,-1,-1,0.706717586397,0.863588658257,0.697457414816,0.664107166378,0.757555014054
727,371,204,-1,-1,0.706718917377,0.863591078813,0.697458892609,0.664109805289,0.757555014054
728,373,205,-1,-1,0.705989939763,0.863144975438,0.695615804998,0.664109805289,0.757691321277
729,375,205,0.37271799267,0.37271799267,0.704227024559,0.863171564182,0.69202768605,0.664115423174,0.757738256833
730,375,205,-1,-1,0.704225806118,0.863169335327,0.69202768605,0.664115423174,0.757733986596
731,375,205,-1,-1,0.704225842642,0.86316940214,0.69202768605,0.664115423174,0.757734114602
732,376,205,0.674076611707,-1,0.704719606177,0.863504526545,0.692735911602,0.66485095644,0.7577802594
733,377,206,-1,-1,0.70486836903,0.863005976424,0.692738334846,0.664853635633,0.757802005382
734,377,206,-1,-1,0.704870405826,0.863009703959,0.692738334846,0.664853635633,0.757809115309
735,377,206,-1,-1,0.704886855245,0.863039807993,0.692752206906,0.664895574136,0.757809115309
736,377,206,-1,-1,0.704883878889,0.863034360973,0.692751560129,0.664897190237,0.75779849275
737,377,206,-1,-1,0.704882786156,0.863032361165,0.692751560129,0.664897190237,0.757794678301
738,377,207,-1,-1,0.705662154601,0.862973436202,0.692751560129,0.664897190237,0.760515251483
739,377,207,-1,-1,0.705661282104,0.862971847163,0.692751560129,0.664897190237,0.760512205825
740,377,207,-1,-1,0.705698473983,0.863039583097,0.69275351795,0.665019982372,0.760538699018
741,378,208,-1,-1,0.705775708871,0.862423495013,0.692969671506,0.665019982372,0.760564623061
742,379,209,-1,-1,0.705905810949,0.861909910808,0.693049108039,0.665019982372,0.761005158608
743,379,209,-1,-1,0.705904282985,0.861907140004,0.693049108039,0.665019982372,0.760999796589
744,379,210,-1,-1,0.706393815742,0.861679414019,0.694059102978,0.66501420381,0.761011022092
745,380,211,-1,-1,0.706167886532,0.861241277685,0.694588035371,0.665212704413,0.758674022212
746,380,211,-1,-1,0.706167774612,0.861241076122,0.694588035371,0.665212704413,0.75867363203
747,380,211,-1,-1,0.706194151115,0.861288578829,0.694632490969,0.665213192685,0.758690556148
748,381,211,-1,-1,0.705454852804,0.861288101968,0.693165043258,0.665213192685,0.75868963305
749,381,211,-1,-1,0.705566447663,0.861489607377,0.69338588423,0.665218082959,0.758702959273
750,382,212,-1,-1,0.705472327195,0.861231284683,0.693389976274,0.663663507204,0.760005699202
751,382,212,-1,-1,0.705880452345,0.861232188006,0.694236238789,0.663663507204,0.760007456124
752,383,213,0.449516549955,-1,0.705763768417,0.860759858401,0.693168285493,0.663984017726,0.761255164313
753,383,213,-1,-1,0.705768313856,0.860768031654,0.693203239296,0.663984017726,0.761211810637
754,383,213,-1,-1,0.705952804126,0.861099767679,0.693585184017,0.663984017726,0.761211810637
755,384,214,0.348077894595,-1,0.705172273229,0.860563131371,0.691739741848,0.663987983809,0.761721379606
756,385,214,-1,-1,0.704813478382,0.860906783484,0.691753910898,0.662870944265,0.761730062076
757,385,214,-1,-1,0.704859602706,0.86098976416,0.691756005341,0.662870944265,0.761889404261
758,385,214,-1,-1,0.704856541433,0.86098425673,0.691756333381,0.662873606936,0.761875833197
759,385,214,-1,-1,0.704856469117,0.86098412663,0.691756712169,0.662872514758,0.761875833197
760,387,214,-1,-1,0.704211404053,0.861481729182,0.691760010483,0.662279451091,0.759954739723
761,387,214,-1,-1,0.704262791624,0.861574659041,0.691961744285,0.662090176356,0.759950998845
762,387,214,-1,-1,0.704243633731,0.861540013692,0.691909500724,0.662115486222,0.759950998845
763,388,214,-1,-1,0.704027025771,0.86189932494,0.691114835686,0.662140925864,0.760628977022
764,388,216,-1,-1,0.704311776576,0.860666892423,0.691364583227,0.66282177253,0.76064555407
765,388,216,-1,-1,0.704332428172,0.860703988808,0.691364583227,0.662845546085,0.760698730667
